"aar";"yrke_grovgruppe";"yrke_fingruppe";"yrkeskode";"yrke";"yrkesbetegnelse";"isco_versjon";"antall_arbeidssokere"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6111";"Korn- og grønnsaksprodusenter";"Arbeidsleder (jordbruk - korn), Gårdbruker, Korn- og grønnsaksprodusent, Potetprodusent";"ISCO-08";"161"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6112";"Frukt- og bærprodusenter";"Frukt- og bærprodusent, Fruktprodusent";"ISCO-08";"7"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6113";"Gartnere";"Anleggsgartner, Gartner, Greenkeeper, Lærling (anleggsgartner), Parkarbeider";"ISCO-08";"588"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6121";"Melke- og husdyrprodusenter";"Avløser, Bonde (husdyrproduksjon), Gårdsarbeider, Husdyroppdretter, Kennelleder, Melke- og husdyrprodusent, Saueklipper, Stallmester";"ISCO-08";"435"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6122";"Egg- og fjærfeprodusenter";"Egg- og fjærfeprodusent, Eggprodusent";"ISCO-08";"12"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6123";"Birøktere";"*";"ISCO-08";"*"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6129";"Andre dyreoppdrettere og -røktere";"Annen dyreoppdretter og -røkter, Oppdretter (pelsdyr)";"ISCO-08";"22"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6130";"Plante- og husdyrprodusenter (kombinasjonsbruk";"*";"ISCO-08";"*"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6210";"Skogbrukere";"Lærling (skogsarbeider), Skogbruker, Skogsarbeider";"ISCO-08";"115"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6221";"Havbruksarbeidere";"Akvakulturarbeider, Fiskeoppdretter, Havbruksarbeider, Lærling (akvakultur), Lærling (fagarbeider akvakultur)";"ISCO-08";"260"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6222";"Fiskere";"Autolinefisker, Fangstmann (fiske), Fisker, Fiskeskipper, Fiskeskipper (kyst), Lineegner, Lærling (fisker)";"ISCO-08";"498"
"2013";"Jordbruk, skogbruk og fiske";"Jordbruk, skogbruk og fiske";"6224";"Fangstfolk";"Fangstfolk, Fangstmann, Hvalfanger";"ISCO-08";"7"
"2013";"Bygg og anlegg";"Andre bygningsarbeidere";"7112";"Murere";"Lærling (murer), Murer";"ISCO-08";"581"
"2013";"Industriarbeid";"Andre håndverkere";"7113";"Steinhoggere";"Lærling (steinfagarbeider), Steinfagarbeider, Steinhogger";"ISCO-08";"74"
"2013";"Bygg og anlegg";"Andre bygningsarbeidere";"7114";"Betongarbeidere";"Betong- og grunnarbeider, Betongarbeider, Forskalingssnekker, Grunnarbeider (bygg), Jernbinder, Lærling (betongarbeider), Lærling (forskalingssnekker), Lærling (jernbinder)";"ISCO-08";"823"
